#
AS2B  U         39.6830         39.6830        161.5061         237.2812
CC1B  U         52.3227         52.3227        498.1482        1213.6181
EC1B  U         49.1064         49.1064        281.9958        1962.2565
EC2B  U         39.7039         39.7039        135.4883         488.4504
EC3B  U         42.4364         42.4364        127.3588         696.0428
 1064374     736032.9381197  -129.9974    45.9674    1.653
AS2C  U         40.2744         40.2744        102.1195         147.6685
CC1C  U         80.6076         80.6076        253.0709         334.6760
EC1C  U         40.3225         40.3225        220.4711        1294.6072
EC2C  U         32.0868         32.0868        114.5955         311.2784
EC3C  U         63.1207         63.1207        124.3415         454.7063
 1140269     736077.6356017  -129.9972    45.9674    1.688
AS1D  D         36.0779         36.0779         62.4525         157.6010
AS2D  U         30.6491         30.6491        140.0685         209.2534
CC1D  U         41.3210         41.3210        319.7219         499.3575
EC1D  U         26.8479         26.8479        304.1503        1792.7456
EC2D  U         25.5100         25.5100        143.8683         422.8203
EC3D  U         37.1874         37.1874        147.5493         592.8766
 1087182     736045.3183499  -129.9975    45.9673    1.698
AS2E  U         32.9445         32.9445         87.5246         150.6688
CC1E  U         36.6687         36.6687        236.5907         452.6008
EC1E  U         27.1392         27.1392        203.3541        1169.7768
EC2E  U         19.1625         19.1625         89.9217         279.6173
EC3E  U         36.8792         36.8792         98.2750         394.4828
 1091532     736047.1242175  -129.9984    45.9671    1.674
AS2F  U         22.5963         22.5963         30.6940          57.8440
CC1F  U         17.6720         17.6720         67.0558         115.0363
EC1F  U         14.5974         14.5974         70.4368         353.8816
EC2F  U         15.2204         15.2204         28.9438          89.7719
EC3F  U         17.6664         17.6664         30.8520         111.1386
 1066731     736033.9578239  -129.9973    45.9676    1.622
AS2G  U         26.1291         26.1291         88.5324         121.8836
CC1G  U         35.2020         35.2020        128.4079         398.5322
EC1G  U         30.1740         30.1740        321.3654        1712.0903
EC2G  U         25.3256         25.3256        119.4538         459.0683
EC3G  U         33.4783         33.4783         94.2797         589.9523
 1131475     736070.0063950  -129.9972    45.9670    1.639
AS1H  D         70.3160         70.3160        125.9164         367.1002
AS2H  U         34.1269         34.1269        287.2359         446.2915
CC1H  U         54.0765         54.0765        466.8779        1329.5909
EC2H  U         43.5236         43.5236        349.8352        1612.6399
ID1H  U         41.4449         41.4449         96.5970         217.7991
 1083945     736043.6799657  -129.9976    45.9686    1.786
AS1I  D          1.0000          1.0000          1.0000           1.0000
AS2I  U         25.3595         25.3595        106.8048         148.1261
CC1I  U         40.2966         40.2966        172.6147         374.1893
EC1I  U         31.7069         31.7069        119.1220        1046.1937
EC2I  U         16.9451         16.9451         49.7482         250.4633
EC3I  U         28.2737         28.2737         67.4174         365.9514
 1114651     736059.1434516  -129.9971    45.9684    1.731
AS1J  D          1.0000          1.0000          1.0000           1.0000
AS2J  U         22.9944         22.9944        127.3596         158.2455
CC1J  U         26.8825         26.8825        185.9310         414.3554
EC1J  U         15.8781         15.8781        117.3392        1118.9006
EC2J  U         19.7134         19.7134         46.0004         274.5092
EC3J  U         32.8175         32.8175         67.9213         400.8230
 1032109     735995.9712417  -129.9974    45.9684    1.716
AS2K  U         36.0555         36.0555         87.2296          95.0234
CC1K  U         40.4958         40.4958        179.7973         481.8125
