#
 1088328     736045.7057682  -129.9892    45.9428    0.487
AS1E  U        393.8220        559.5918       1385.4431        4237.1679
AS2E  D         99.6036        124.7098       1310.3878        1695.3485
CC1E  U         96.4273        136.1484        647.1236        1390.8410
EC1E  D        244.0136        540.0949       1818.0719       10006.2977
EC2E  D        208.2086        487.4170       1404.1924        5878.4336
EC3E  D        439.7835       1763.6491       3058.7582       18316.8727
 1124233     736064.0086795  -129.9891    45.9440    0.527
AS1F  U         42.7234         33.3749        153.3224         451.0433
AS2F  D         42.3204         32.9101         67.0280         156.4022
CC1F  U         30.5608         23.3819        160.5747         365.9523
EC1F  D         29.8347         27.2160        160.6479        1271.0261
EC2F  D         24.1623         22.4334        197.1110         621.4606
EC3F  D         34.9230         32.9368        233.4407        1227.7271
ID1F  U         30.8742         21.3219         81.8745          95.8573
 1125187     736064.7167691  -129.9898    45.9435    0.534
AS1G  U         28.1507         40.4400        115.2654         217.5978
AS2G  D         29.3514         32.2405        104.3964         100.1819
CC1G  U         36.4693         41.4025         92.7851         155.3083
EC1G  D         31.5143         22.7073        213.5792         590.1264
EC2G  D         34.2874         28.4448        234.3311         424.5558
EC3G  D         29.5135         47.8206        241.3401         591.8092
 1125212     736064.7208949  -129.9897    45.9438    0.497
AS1H  U         30.2824         29.1183         96.4161         307.4945
AS2H  D         29.4933         31.9587         78.2692         137.6402
CC1H  U         34.7951         30.6493        126.4650         275.3532
EC1H  D         18.3573         32.9422        223.1059        1062.7656
EC2H  D         23.5683         31.3261        189.4482         588.8681
EC3H  D         43.2185         42.4341        194.2973         929.6767
ID1H  U          1.0000          1.0000          1.0000           1.0000
#
106   736050.7945208   -129.9891   45.9425   0.51
 1049225     736015.1917820  -129.9886    45.9424    0.528
AS1A  U         39.1036         35.2421        233.4360         688.4724
AS2A  D         32.3338         45.8234        190.5455         271.0738
CC1A  U         42.9072         61.3326        153.5203         452.6923
EC1A  D         35.9525         33.3838        324.0874        1631.6305
EC2A  D         35.4546         30.0595        277.5969        1049.8328
EC3A  D         32.1790         56.7404        456.0905        3025.1296
 1088109     736045.6839074  -129.9892    45.9424    0.539
AS1B  U         91.2540         84.3288        360.2774        1293.8768
AS2B  D         41.5776         50.1776        445.1031         567.7812
CC1B  U          1.0000          1.0000          1.0000           1.0000
EC1B  D         63.9247         61.5049        480.8109        2612.3704
