#
EC3B  D         32.1790         56.7404        456.0905        3025.1296
 1100524     736051.8787741  -129.9894    45.9424    0.498
AS1C  U         41.6937         37.4789        346.0929        1054.1126
AS2C  D         48.1271         55.6790        328.7443         501.0280
CC1C  U          1.0000          1.0000          1.0000           1.0000
EC1C  D        125.7081         34.7412        355.7579        1946.9302
EC2C  D         19.5656         26.1853        316.4478        1322.5803
EC3C  D         40.3879         48.5539        657.0224        3788.1227
ID1C  U         39.2301         32.5852        265.7368         207.3220
 1118852     736061.0866416  -129.9893    45.9428    0.487
AS1D  U         22.0989         30.2605        176.1759         658.0551
AS2D  D         31.2981         49.2985        225.0618         258.7266
CC1D  U         32.7180         46.0676        127.9849         214.7112
EC1D  D         32.1021         54.6361        228.8442        1256.8317
EC2D  D         39.2474         29.5459        149.6551         842.3338
EC3D  D         34.4965         51.6473        272.9219        1657.6967
 1088109     736045.6839074  -129.9892    45.9424    0.539
AS1E  U         91.2540         84.3288        360.2774        1293.8768
AS2E  D         41.5776         50.1776        445.1031         567.7812
CC1E  U          1.0000          1.0000          1.0000           1.0000
EC1E  D         63.9247         61.5049        480.8109        2612.3704
EC2E  D         75.4483         78.4611        518.2930        2351.6337
EC3E  D         91.4042        117.4507        748.1489        6242.5426
ID1E  U         94.1795         65.9515        326.6070         383.1994
 1127970     736067.1195430  -129.9891    45.9423    0.532
AS1F  U         45.2348        139.6318        553.7857        2002.1904
AS2F  D         40.6731         49.6626        647.4757         837.3320
CC1F  U          1.0000          1.0000          1.0000           1.0000
EC1F  D        112.2810        359.8518        660.3774        3594.8528
EC2F  D         62.4000        130.9143        646.9160        3014.8883
EC3F  D         74.1264        318.4216        988.0699        7983.8236
ID1F  U         42.5815         50.3123        510.5466         532.2042
#
106   736050.0187191   -129.9899   45.9451   0.49
 1081266     736042.0179263  -129.9899    45.9453    0.497
AS1A  U         61.6206         39.3462        185.7034         546.7249
AS2A  D         40.2373         40.0728        316.1724         274.9724
CC1A  U          1.0000          1.0000          1.0000           1.0000
EC1A  D        133.9900        109.0178        894.3301        2241.9689
EC2A  D         83.6508         50.9203        780.4085        1784.8785
EC3A  D        162.3932         80.5856        775.0595        4537.5512
ID1A  U         54.4884         31.4499        229.1756         218.5349
 1094388     736048.1974579  -129.9902    45.9452    0.479
AS1B  U         30.7352         35.6614        105.8529         257.1771
AS2B  D          1.0000          1.0000          1.0000           1.0000
CC1B  U         31.7372         45.6980        205.9417         429.8645
EC1B  D         58.0797         33.9087        430.6297        1321.4793
EC2B  D         23.5350         25.0480        352.3676        1007.8349
EC3B  D         45.2817         44.8504        376.2714        2357.2923
ID1B  U         47.6164         31.6236        113.5813         116.3557
 1135604     736073.6290182  -129.9901    45.9453    0.485
AS1C  U         36.3848         27.6581         87.9413         239.3777
AS2C  D         26.6794         47.9560        150.8613         112.6996
CC1C  U         43.8173         29.9498        165.5792         389.6312
EC1C  D         32.6674         57.7541        368.3822        1035.3094
EC2C  D         23.3093         30.6417        345.3453         928.3538
EC3C  D         27.4620         53.7500        358.5073        2234.4784
 1089710     736046.6199951  -129.9898    45.9451    0.484
AS1D  U         29.6529         29.6529         64.3163         165.0380
AS2D  D         27.3630         27.3630         55.1580         106.7561
CC1D  U         38.9223         38.9223        245.7214         192.5009
EC1D  D         46.0500         46.0500        422.0387         571.3753
EC2D  D         25.4881         25.4881        189.5216         486.5453
EC3D  D         38.6016         38.6016        140.2246         978.4790
 1079007     736040.9185718  -129.9901    45.9452    0.488
AS1E  U         30.2181         44.2551         52.5656         154.1323
AS2E  D         26.4578         41.7385         46.3413         100.9357
CC1E  U         46.8883         48.4519         63.9966         184.5107
EC1E  D         32.8720         37.1877        234.0149         701.3720
EC2E  D         23.5633         29.8857        120.5949         526.5586
EC3E  D         30.7963         44.6931        156.3068        1043.2933
 1095431     736048.7293454  -129.9895    45.9447    0.486
AS1F  U         42.8786         55.1605        156.3692         468.5541
AS2F  D         32.6338         48.2584        192.7024         222.3023
CC1F  U         40.8781         54.3952        378.3989         764.5074
EC1F  D         57.4449         96.1044        644.5636        2141.0640
EC2F  D         55.6842         62.0915        389.4844        1914.6714
EC3F  D         49.7071        111.6525        672.6331        2564.6502
#
107   736044.3071946   -129.9815   45.9372   1.50
 1066196     736033.7541547  -129.9814    45.9367    1.481
AS1A  U        225.5366        518.3658       2437.3163        6707.0941
AS2A  U        201.7749        293.4592       2694.8038        2573.5479
EC1A  D        328.6561        537.2869       2637.8668        9270.3681
EC2A  D         80.8049        320.9049       2152.2213        8197.5546
EC3A  D        219.6572        525.9514      18892.3738       88677.5138
ID1A  U        233.7824        333.1100       4616.5550        5124.1946
 1070921     736035.8230752  -129.9818    45.9371    1.520
AS1B  U         49.9113         47.5401        292.2514        1031.5156
AS2B  U         27.2139         31.5648        411.6034         360.8686
CC1B  U          1.0000          1.0000          1.0000           1.0000
EC1B  D         34.0332         42.0012        416.0060        2256.1449
EC2B  D         38.7065         30.7236        333.4921        1409.1982
EC3B  D         49.3321         86.4840       2405.0979       14322.2068
ID1B  U         37.0733         27.6697        585.9707         754.4976
 1071203     736035.9053259  -129.9813    45.9367    1.504
