#
AEC1  D         55.3847         55.3847         44.3895          44.7200
AEC2  D         62.5556         62.5556         53.1459          84.2019
AEC3  U         83.5190         83.5190         44.0669         129.4483
AID1  U         56.6420         56.6420         38.9793          70.5644
A02A  U        141.4473        141.4473        110.2615         580.0681
A03A  D         54.6831         54.6831         62.2692         262.6822
A05A  D        215.1317        215.1317        160.9164        1881.6293
A06A  U         89.7811         89.7811        168.8252        1159.9300
#
 21   738819.2618839   -129.9960   45.9520   1.54
 229800335     738819.2618839  -129.9960    45.9520    1.541
AAS1  D         48.1226         48.1226         46.0683          56.3678
AAS2  D         36.6218         36.6218         34.7521          41.7904
ACC1  U         90.1527         90.1527         33.9244         105.7591
AEC1  U         36.6417         36.6417         41.4879          53.2136
AEC2  U         73.0644         73.0644         27.5700          81.9820
AEC3  U         56.9531         56.9531         29.5145          78.3395
AID1  U         53.0128         53.0128         42.4850          78.6296
A03A  D         63.1355         63.1355         78.2495         488.7772
A05A  U        153.2378        153.2378        202.9550        2639.6240
A06A  U         79.3901         79.3901        582.3874         590.0886
A07A  U         48.5035         48.5035        158.9256         333.3676
A10A  U         14.6562         14.6562         14.0411          47.3803
#
 22   738819.2692785   -129.9880   45.9460   2.46
 229800348     738819.2692785  -129.9880    45.9460    2.461
AAS1  D         53.8664         53.8664         24.6733          60.3146
AAS2  D         43.7984         43.7984         25.8676          42.0147
ACC1  D         98.5481         98.5481         58.0304         107.1169
AEC1  D         46.5962         46.5962         60.0477          59.3044
AEC2  D         81.9652         81.9652         38.3464          89.8676
AEC3  U         77.7326         77.7326         37.2354         107.5793
AID1  D         60.3033         60.3033         60.6683          68.9845
A03A  D         53.2023         53.2023         87.9689         243.7030
A05A  D        171.2153        171.2153         88.5494        1608.5716
A06A  U         77.4901         77.4901        353.6005         277.2134
A07A  U         41.5092         41.5092         59.0040         107.1497
A11A  U        125.8184        125.8184         54.9330         298.4972
#
 23   738819.3256110   -129.9920   45.9440   2.12
 229800379     738819.3256110  -129.9920    45.9440    2.116
AAS2  U         50.7150         50.7150         54.5994          42.4405
ACC1  D         85.9829         85.9829         45.0800          85.0415
AEC1  D         38.7256         38.7256         30.7808          49.1775
AEC2  U         91.2541         91.2541         46.9195          84.6922
A03A  U         51.7985         51.7985        101.6843         651.6453
A05A  U         70.2451         70.2451        141.9253        2250.1130
A06A  U         62.5672         62.5672        404.3424        1072.7150
A07A  U         33.8506         33.8506         81.7267         178.1158
A11A  D         85.4466         85.4466         54.4537         594.0278
A14A  U         27.3020         27.3020         19.4956          93.8491
#
 24   738819.3417247   -129.9990   45.9450   1.48
 229800398     738819.3417247  -129.9990    45.9450    1.484
AAS1  D         65.6305         65.6305         48.0923          70.2551
AAS2  D         46.0619         46.0619         41.8297          49.2062
ACC1  D         98.0118         98.0118         32.0706          93.2890
AEC1  D         44.2981         44.2981         63.2543          50.3615
AEC2  U        100.9752        100.9752         35.1462          90.5918
AEC3  D         65.9711         65.9711         37.8073          67.2655
AID1  D         59.4064         59.4064         45.8612          72.2820
A03A  U         49.6331         49.6331        121.6046         390.4221
A06A  U         72.0946         72.0946        352.3433         693.1199
A07A  U         37.2508         37.2508         58.8774         126.1217
A11A  D         90.9964         90.9964         60.5638         559.4461
#
 25   738823.3803825   -129.9920   45.9400   1.67
 230200079     738823.3803825  -129.9920    45.9400    1.671
AAS1  U         46.3414         46.3414       7778.7079        5315.3376
AAS2  U         37.7355         37.7355       1395.4560         937.1998
ACC1  U         66.9932         66.9932       1001.3550        2232.2581
AEC1  D         40.1571         40.1571       1536.9709        4725.1631
AEC2  D         60.3203         60.3203       3084.9870       10496.3366
AEC3  D         76.4039         76.4039       7984.9647       22893.6427
AID1  U         49.1993         49.1993        787.7090        2685.7702
A03A  D         50.5639         50.5639        108.6341         265.3673
A04A  U         68.8291         68.8291         73.5029         139.6125
A05A  U        114.8253        114.8253        245.7273        9965.2638
A06A  U         56.8266         56.8266        144.3369         279.4559
A07A  U         36.7981         36.7981        189.7657         538.6156
A08A  U         17.1290         17.1290        541.1160          16.5378
A09A  U         51.5193         51.5193         39.9511         467.8451
A10A  U         16.8121         16.8121        935.2244        1520.4783
A12A  U         10.7732         10.7732        165.2609        1020.3619
A13A  U        197.0745        197.0745        675.6928        1771.4003
A14A  U         20.3015         20.3015        239.7950         365.9563
#
 26   738823.3920711   -129.9910   45.9400   1.66
 230200085     738823.3920711  -129.9910    45.9400    1.656
AAS1  U         60.8611         60.8611        254.4484         225.3782
AAS2  U         44.6397         44.6397         30.1839          38.6554
ACC1  D         91.7953         91.7953         57.0502          84.7592
AEC1  D         35.5274         35.5274         44.8821         217.1617
AEC2  D         74.6921         74.6921         73.6719         290.0594
AEC3  D         60.3459         60.3459        389.1942        1085.9821
AID1  D         51.8211         51.8211         60.4578          66.2722
A10A  U         17.0011         17.0011         35.5348          53.3206
A11A  U        126.2991        126.2991         80.2809         925.6035
A12A  D         12.4132         12.4132         11.0065          35.4913
#
 27   738823.3954052   -129.9870   45.9420   1.48
 230200090     738823.3954052  -129.9870    45.9420    1.484
AAS1  U         53.6796         53.6796        612.4680         467.8033
ACC1  D         76.0619         76.0619         43.3279          87.0602
AEC1  D         78.3589         78.3589        152.7876         507.4559
AEC2  D         82.2346         82.2346        265.4023         866.9000
AEC3  D         61.3245         61.3245       1322.6528        3603.4883
AID1  U         57.6796         57.6796        151.0827         378.9779
A05A  D        102.8074        102.8074        113.9629        1109.8212
A10A  U         21.7327         21.7327         76.7808         137.3329
A11A  U        259.7980        259.7980        220.3336        2254.4273
A12A  U         14.0529         14.0529         16.1357          92.7797
A13A  U         55.8369         55.8369         60.6257         235.9637
