event_id,mech_number,strike,dip,rake,norm_N,norm_E,norm_Z,norm_aux_N,norm_aux_E,norm_aux_Z
2148509,223,97.8,40.0,115.0,0.6368,0.0875,0.766,-0.7454,0.3241,0.5826
2148509,224,133.9,35.0,140.0,0.4133,0.3977,0.8192,-0.9106,0.1868,0.3687
2148509,225,318.3,35.0,100.0,-0.3816,-0.4282,0.8192,0.6664,0.4867,0.5649
2148509,226,309.7,55.0,105.0,-0.6306,-0.5228,0.5736,0.5917,0.1544,0.7912
2148509,227,104.1,45.0,115.0,0.6857,0.1725,0.7071,-0.7246,0.2535,0.6409
2148509,228,300.7,35.0,100.0,-0.493,-0.2931,0.8192,0.7822,0.263,0.5649
2148509,229,121.3,40.0,120.0,0.5492,0.334,0.766,-0.8266,0.0825,0.5567
2148509,230,152.6,40.0,135.0,0.2957,0.5707,0.766,-0.877,-0.1556,0.4545
2148509,231,162.0,65.0,150.0,0.2801,0.8619,0.4226,-0.8889,0.0666,0.4532
2148509,232,108.3,55.0,110.0,0.7777,0.2573,0.5736,-0.6191,0.1554,0.7698
2148509,233,121.8,70.0,100.0,0.7989,0.4947,0.342,-0.3778,-0.0297,0.9254
2148509,234,146.5,45.0,140.0,0.3906,0.5894,0.7071,-0.8896,0.0442,0.4545
2148509,235,300.0,30.0,110.0,-0.433,-0.25,0.866,0.8758,0.1107,0.4698
2148509,236,90.0,35.0,105.0,0.5736,0.0,0.8192,-0.7912,0.2588,0.554
2148509,237,303.6,55.0,110.0,-0.6826,-0.4528,0.5736,0.6382,0.0129,0.7698
2148509,238,113.5,40.0,95.0,0.5896,0.2561,0.766,-0.7347,-0.2241,0.6403
2148509,239,320.4,20.0,130.0,-0.218,-0.2635,0.9397,0.9541,0.1449,0.262
2148509,240,136.5,60.0,100.0,0.5967,0.6277,0.5,-0.4651,-0.2373,0.8529
2148509,241,150.9,65.0,155.0,0.4405,0.7921,0.4226,-0.8789,0.2844,0.383
2148509,242,120.5,55.0,110.0,0.7057,0.4159,0.5736,-0.638,0.021,0.7698
2148509,243,113.5,40.0,115.0,0.5896,0.2561,0.766,-0.8052,0.111,0.5826
2148509,244,337.1,45.0,130.0,-0.2756,-0.6512,0.7071,0.8031,0.2483,0.5417
2148509,245,280.6,45.0,100.0,-0.6951,-0.1299,0.7071,0.7164,-0.0427,0.6964
2148509,246,312.5,50.0,95.0,-0.5644,-0.518,0.6428,0.5307,0.3688,0.7631
2148509,247,335.9,35.0,105.0,-0.2346,-0.5234,0.8192,0.5598,0.6161,0.554
2148509,248,340.4,40.0,115.0,-0.2153,-0.6057,0.766,0.6307,0.5127,0.5826
2148509,249,95.8,60.0,105.0,0.8616,0.0876,0.5,-0.5067,0.2086,0.8365
2148509,250,120.9,75.0,100.0,0.8292,0.4954,0.2588,-0.3079,0.0183,0.9513
2148509,251,160.6,45.0,150.0,0.235,0.6669,0.7071,-0.9343,-0.0456,0.3536
2148509,252,279.8,50.0,100.0,-0.7548,-0.1306,0.6428,0.6534,-0.0632,0.7544
2148509,253,138.0,25.0,120.0,0.2828,0.3141,0.9063,-0.8968,-0.2487,0.366
2148509,254,116.3,35.0,115.0,0.514,0.2545,0.8192,-0.8528,0.0493,0.5198
2148509,255,337.1,45.0,120.0,-0.2756,-0.6512,0.7071,0.6991,0.369,0.6124
2148509,256,138.0,25.0,125.0,0.2828,0.3141,0.9063,-0.923,-0.1679,0.3462
2148509,257,114.4,55.0,100.0,0.7459,0.3385,0.5736,-0.5861,-0.0753,0.8067
2148509,258,148.2,70.0,155.0,0.4947,0.7989,0.342,-0.8467,0.3542,0.3971
2148509,259,153.9,60.0,130.0,0.3814,0.7775,0.5,-0.7458,-0.0608,0.6634
2148509,260,137.0,40.0,130.0,0.4387,0.4698,0.766,-0.8703,0.0099,0.4924
2148509,261,138.8,55.0,135.0,0.5394,0.6165,0.5736,-0.7992,0.1604,0.5792
2148509,262,145.4,65.0,155.0,0.5148,0.7459,0.4226,-0.8473,0.3679,0.383
2148509,263,320.4,20.0,125.0,-0.218,-0.2635,0.9397,0.9326,0.2275,0.2802
2148509,264,300.7,35.0,95.0,-0.493,-0.2931,0.8192,0.746,0.3421,0.5714
2148509,265,132.7,55.0,130.0,0.6019,0.5556,0.5736,-0.7589,0.1743,0.6275
2148509,266,293.2,60.0,95.0,-0.7958,-0.3415,0.5,0.4921,0.1163,0.8627
2148509,267,137.6,70.0,160.0,0.6331,0.6944,0.342,-0.7732,0.5466,0.3214
2148509,268,119.0,60.0,95.0,0.7572,0.4203,0.5,-0.4778,-0.1655,0.8627
2148509,269,308.8,45.0,95.0,-0.5509,-0.4433,0.7071,0.6034,0.3737,0.7044
2148509,270,293.5,40.0,110.0,-0.5896,-0.2561,0.766,0.7965,-0.0269,0.604
2148509,271,291.6,20.0,95.0,-0.318,-0.1259,0.9397,0.9025,0.2636,0.3407
2148509,272,112.2,65.0,110.0,0.8394,0.3418,0.4226,-0.4968,0.167,0.8517
2148509,273,330.0,45.0,115.0,-0.3536,-0.6124,0.7071,0.6864,0.3437,0.6409
2148509,274,353.4,35.0,140.0,-0.0658,-0.5698,0.8192,0.8214,0.4352,0.3687
2148509,275,114.0,25.0,100.0,0.3861,0.1719,0.9063,-0.886,-0.2044,0.4162
2148509,276,146.5,45.0,120.0,0.3906,0.5894,0.7071,-0.7551,-0.2343,0.6124
2148509,277,105.9,70.0,95.0,0.9038,0.2572,0.342,-0.3516,-0.0094,0.9361
2148509,278,273.5,45.0,95.0,-0.7058,-0.0435,0.7071,0.7084,-0.0436,0.7044
2148509,279,132.4,45.0,105.0,0.5226,0.4764,0.7071,-0.6791,-0.2689,0.683
2148509,280,135.8,50.0,120.0,0.5339,0.5494,0.6428,-0.7465,-0.0507,0.6634
2148509,281,104.1,45.0,110.0,0.6857,0.1725,0.7071,-0.7278,0.1696,0.6645
