event_id,strike,dip,rake,quality,fault_plane_uncertainty,aux_plane_uncertainty,num_p_pol,num_sp_ratios,polarity_misfit,prob_mech,sta_distribution_ratio,sp_misfit,mult_solution_flag,time,magnitude,origin_lat,origin_lon,origin_depth_km,horz_uncert_km,vert_uncert_km
1406,64.1,60.2,-149.4,A,11.3,11.3,32,31,0.0,100.0,63.6,-59.7,False,2015-03-20 13:03:32,1.0,45.945,-130.017,0.6,0.3,0.2
1407,228.0,36.3,-126.9,A,16.7,16.6,32,28,0.0,100.0,56.3,-46.8,False,2015-01-30 20:24:34,1.0,45.947,-129.993,1.0,0.3,0.2
1409,94.3,75.9,148.8,A,22.2,14.6,31,23,4.0,94.1,75.9,-47.4,False,2015-04-20 02:08:28,1.0,45.945,-129.992,0.4,0.3,0.2
1410,194.9,23.6,-94.6,A,15.2,9.7,30,28,9.0,100.0,61.6,-68.8,False,2015-03-07 06:52:54,1.0,45.963,-129.997,1.3,0.3,0.2
141,219.3,78.4,-155.2,A,5.2,9.6,39,36,0.0,100.0,70.7,-23.5,False,2015-03-27 19:04:06,1.0,45.9425,-129.989167,0.51,0.3,0.2
1408,140.3,22.5,91.9,B,23.8,27.1,48,48,0.0,81.9,75.2,-22.3,False,2015-03-19 02:20:23,1.0,45.949,-129.996,0.3,0.3,0.2
1411,130.3,28.6,-69.3,D,8.0,27.4,32,31,30.6,87.1,63.6,-66.9,False,2015-03-11 19:46:42,1.0,45.97,-129.999,1.5,0.3,0.2
1412,14.4,41.4,-117.9,C,23.1,26.7,32,31,25.0,97.2,54.7,-68.4,False,2015-03-01 18:50:41,1.0,45.931,-129.982,1.2,0.3,0.2
1413,275.6,79.3,-159.0,B,14.3,27.4,31,27,12.7,88.2,47.9,-77.9,False,2015-03-07 10:55:51,1.0,45.945,-130.021,1.0,0.3,0.2
1414,333.3,72.2,153.3,A,15.5,14.4,32,27,11.6,99.0,64.0,-71.7,False,2015-04-03 18:35:49,1.0,45.948,-130.01,0.1,0.3,0.2
1416,38.2,86.5,166.2,B,25.3,25.3,31,27,5.1,79.2,50.1,-63.7,False,2015-03-27 01:21:05,1.0,45.942,-129.991,1.0,0.3,0.2
1415,115.0,78.4,136.4,B,36.2,31.4,33,29,0.0,69.2,51.7,-79.0,False,2015-03-18 23:46:50,1.0,45.958,-129.992,1.4,0.3,0.2
