#
EC3F  D         34.6022         76.8011       2248.0857       11388.0126
ID1F  U         46.2688         22.8004        840.2275        1013.9191
#
105   736042.8968879   -130.0193   45.9355   1.25
 1066779     736034.0162697  -130.0190    45.9354    1.243
AS1A  U         38.6596         42.0442        148.7757         363.5864
AS2A  U         26.3940         50.3368        736.0329        1337.4777
CC1A  U         38.4355         32.8036        117.9656         243.1407
EC1A  U         39.2355         27.0742        150.7780         588.1653
EC2A  U         31.0687         39.6966        119.1650         630.0272
EC3A  U         53.4175         45.9517        166.0733         573.2331
 1077939     736039.9948504  -130.0191    45.9353    1.260
AS1B  U         40.0554         29.6790        191.4285         489.1268
AS2B  U         36.2461         35.1379        919.4871        1782.8590
CC1B  U         39.0486         25.5524        133.5792         265.0554
EC1B  U         32.6776         21.6845        210.3348         804.9385
EC2B  U         30.3086         19.9312        163.5303         887.1527
EC3B  U         36.1366         42.6171        205.2952         824.1435
ID1B  D          1.0000          1.0000          1.0000           1.0000
 1096240     736049.1723221  -130.0193    45.9356    1.254
AS1C  U         33.6848         40.9785        161.3659         380.2922
AS2C  U         28.6051         33.6471        754.9390        1352.9872
CC1C  U         23.8307         30.9116        126.4434         231.4445
EC1C  U         29.8934         29.5356        158.2995         591.9051
EC2C  U         28.0392         25.9906        116.0155         656.5674
EC3C  U         26.3295         35.3252        141.0947         603.8924
 1073218     736037.0160864  -130.0192    45.9352    1.242
AS1D  U         64.9840         75.2285        393.1059        1086.4817
AS2D  U         65.5184         87.6082       2165.4924        3807.3651
EC1D  U         67.9163        151.9347        436.5833        1596.6255
EC2D  U         48.7109         90.6039        321.0468        1746.3404
EC3D  U         79.9376        275.8453        410.2271        1634.3843
ID1D  D         58.4556         54.9031        152.7015         217.3738
 1096033     736048.9712302  -130.0194    45.9354    1.221
AS1E  U         36.3634         40.7527        299.0199         744.3621
AS2E  U         27.0966         53.1795       1331.7828        2662.6170
CC1E  U         37.9869         38.4604        214.0897         418.2363
EC1E  U         36.8194         43.8396        299.5840         984.6381
EC2E  U         50.0512         34.4332        187.4889        1082.8462
EC3E  U         45.4538         57.0593        262.8863        1021.3237
 1080847     736041.9005907  -130.0191    45.9356    1.247
AS1F  U         31.9847         43.2292        245.9453         589.7270
AS2F  U         31.3660         45.7736       1178.0523        2128.9221
CC1F  U         23.1009         31.4915        173.6514         364.5954
EC1F  U         30.6583         29.8391        260.5037         948.2790
EC2F  U         28.8055         28.9452        198.5315        1061.5455
EC3F  U         26.5738         45.4899        240.6894         985.1656
