ID YR MO DY HR MIN SEC latitude longitude DEPTH rms nPh Gap
226100015 2022 9 18 8 1 3.674613 45.998784 -130.037118 -0.06875 0.420086 11 213.42
226100016 2022 9 18 8 27 50.998669 45.968193 -129.905611 -0.47125 0.356495 11 296.086
226100024 2022 9 18 8 45 37.296308 46.019641 -129.94493 2.4325 0.201865 9 336.999
226100030 2022 9 18 12 29 6.170308 46.002492 -130.024439 1.48375 0.200292 10 157.3
226100035 2022 9 18 15 22 21.144315 45.923696 -129.992417 1.59875 0.18628 13 86.5485
226100039 2022 9 18 16 33 6.95306 45.958459 -130.040573 0.4775 0.180644 12 267.413
226100040 2022 9 18 16 56 19.087818 46.006663 -129.970317 1.2825 0.471015 13 242.937
226100042 2022 9 18 18 14 15.239107 45.939919 -130.046436 0.9375 0.183225 7 265.251
226100046 2022 9 18 18 39 30.356427 45.888007 -130.005622 0.4775 0.378723 11 287.523
226100047 2022 9 18 18 40 11.828097 45.906547 -129.982231 0.7075 0.183673 8 239.569
226100052 2022 9 18 19 56 5.603207 45.904229 -129.971044 -0.35625 0.362677 8 316.818
226100053 2022 9 18 20 0 43.444083 45.932503 -130.015284 -0.4425 0.32843 7 173.888
226100055 2022 9 18 20 16 36.173632 45.899131 -130.007549 -0.0975 0.44957 12 257.716
226100068 2022 9 18 22 22 12.18953 45.932503 -129.945173 0.8225 0.349889 10 269.105
226100091 2022 9 18 23 40 21.103741 45.954751 -129.974336 1.0525 0.376035 9 233.22
226100092 2022 9 18 23 42 1.823356 45.95058 -129.97191 1.42625 0.489404 9 199.705
226100093 2022 9 18 23 42 40.737001 45.995075 -130.008851 0.96625 0.431704 13 128.296
226100097 2022 9 18 23 45 15.406929 45.981171 -130.003026 1.02375 0.39321 11 113.784
226200002 2022 9 19 0 6 56.448887 45.945017 -129.984584 0.50625 0.407471 9 129.988
226200003 2022 9 19 0 7 2.710494 45.939456 -129.974857 0.04625 0.495516 10 136.257
226200004 2022 9 19 0 10 9.493653 45.933894 -129.986555 0.50625 0.440669 13 146.357
226200005 2022 9 19 0 10 16.543025 45.934821 -129.974868 1.31125 0.43378 13 179.013
226200006 2022 9 19 0 10 21.740017 45.932966 -129.999216 0.33375 0.466304 14 121.026
226200020 2022 9 19 2 13 22.86279 45.983952 -130.002047 -0.47125 0.48855 14 87.4881
226200022 2022 9 19 2 14 49.836373 46.034473 -129.940986 -0.2125 0.477804 10 328.667
226200059 2022 9 19 3 39 24.266254 45.95985 -129.949481 -0.01125 0.436704 13 232.173
226200088 2022 9 19 8 11 40.517802 45.983024 -130.033237 0.85125 0.321062 13 81.4927
226200092 2022 9 19 10 48 39.613362 46.019641 -129.948831 0.8225 0.426625 12 319.917
226200102 2022 9 19 11 16 15.473781 45.965412 -129.970901 1.36875 0.452352 11 138.222
226200114 2022 9 19 11 54 29.519022 45.982561 -130.021055 0.4775 0.480021 10 244.445
226200118 2022 9 19 12 1 37.502809 46.002492 -130.025414 1.59875 0.171718 10 164.515
226200124 2022 9 19 12 17 8.200932 45.973291 -129.933366 0.7075 0.477286 13 267.257
226200132 2022 9 19 12 29 0.232793 45.973291 -129.956753 1.0525 0.325971 9 275.698
226200133 2022 9 19 12 33 13.875638 45.964021 -130.028876 2.6625 0.296016 11 259.841
226200134 2022 9 19 12 36 40.583736 45.947335 -129.993833 -0.4425 0.254081 6 225.866
226200141 2022 9 19 12 59 47.806814 45.975145 -130.005473 0.3625 0.393031 11 213.615
226200142 2022 9 19 13 0 29.131995 45.960777 -130.006959 0.27625 0.360837 10 105.114
226200147 2022 9 19 13 14 18.897166 45.969583 -130.021073 -0.4425 0.376283 8 160.018
226200150 2022 9 19 13 25 32.998419 45.983024 -130.013744 0.04625 0.477896 9 252.654
226200161 2022 9 19 13 49 21.02003 45.993222 -129.995207 0.56375 0.320138 9 215.701
226200182 2022 9 19 14 41 33.464623 45.926478 -129.990465 1.42625 0.0686846 14 109.205
226200194 2022 9 19 15 16 45.483948 45.960313 -130.04252 -0.4425 0.37239 10 295.361
226200198 2022 9 19 15 23 19.274604 46.001101 -130.005429 -0.4425 0.328396 8 335.19
226200203 2022 9 19 15 34 34.750901 45.970047 -130.029355 -0.18375 0.465659 12 260.601
226200207 2022 9 19 15 42 35.850662 46.001565 -130.025415 1.54125 0.246621 11 147.438
226200208 2022 9 19 15 43 35.551235 45.976536 -129.976722 -0.29875 0.436066 9 329.695
226200209 2022 9 19 15 45 1.882416 45.934821 -129.982658 -0.24125 0.331541 8 126.565
226200224 2022 9 19 16 32 47.91775 45.969583 -130.028868 -0.0975 0.408443 9 247.387
226200228 2022 9 19 16 39 53.469201 45.964485 -130.005004 -0.18375 0.403653 12 249.68
226200229 2022 9 19 16 40 34.398126 45.969119 -130.030331 -0.18375 0.305716 11 236.898
226200239 2022 9 19 17 12 9.780187 45.938065 -130.01917 0.0175 0.380772 11 179.897
226200256 2022 9 19 18 17 7.671896 45.980707 -130.023007 -0.0975 0.486517 8 227.928
226200265 2022 9 19 18 28 18.137626 45.972828 -129.995245 1.48375 0.320317 12 164.396
226200296 2022 9 19 19 4 41.607699 45.997393 -130.022983 0.4775 0.418589 9 210.352
226200300 2022 9 19 19 10 11.646391 45.975145 -130.021065 0.8225 0.449922 8 234.574
226200301 2022 9 19 19 14 16.001442 45.978389 -130.010828 0.16125 0.325263 10 189.593
226200302 2022 9 19 19 20 20.580582 45.974682 -130.030324 0.16125 0.45618 14 184.978
226200304 2022 9 19 19 22 29.471028 45.93204 -130.003112 -0.47125 0.498699 10 206.001
226200308 2022 9 19 19 25 59.773418 45.980707 -130.023007 0.1325 0.379719 8 257.686
226200315 2022 9 19 19 40 17.403096 45.958459 -130.028883 1.1675 0.484572 7 202.248
226200333 2022 9 19 20 1 25.970389 45.984879 -130.026412 1.31125 0.353613 9 242.451
226200335 2022 9 19 20 2 49.167835 45.980244 -130.043961 0.62125 0.435945 18 173.46
226200338 2022 9 19 20 4 53.348326 45.967266 -130.03423 0.50625 0.409382 16 231.208
226200340 2022 9 19 20 6 16.743552 45.964485 -130.036182 0.62125 0.361212 16 199.114
226200341 2022 9 19 20 6 58.387279 45.967729 -130.026922 0.4775 0.239112 11 134.58
226200344 2022 9 19 20 8 42.686291 45.964021 -130.034721 0.9375 0.387482 11 134.921
226200358 2022 9 19 20 17 25.056522 45.910255 -130.013371 -0.4425 0.370778 9 253.317
226200360 2022 9 19 20 18 8.940574 45.941773 -129.986052 -0.4425 0.435915 10 72.1351
226200365 2022 9 19 20 20 25.61658 45.972828 -130.029352 -0.12625 0.451162 9 174.85
226200367 2022 9 19 20 21 21.251612 45.926478 -129.977807 -0.06875 0.450796 8 178.11
226200372 2022 9 19 20 26 40.873455 45.952897 -130.026942 0.1325 0.464485 15 197.892
226200376 2022 9 19 20 28 47.525115 45.954751 -130.013301 0.3625 0.469864 8 183.357
226200378 2022 9 19 20 32 27.279462 45.923233 -130.001667 -0.4425 0.396499 9 299.423
226200381 2022 9 19 20 33 44.427366 45.954287 -130.019634 0.73625 0.494787 10 163.127
226200403 2022 9 19 21 45 12.42763 45.917671 -130.023094 0.5925 0.486976 11 226.307
226200404 2022 9 19 21 46 36.138971 45.952433 -130.044963 0.96625 0.443554 10 261.251
226200407 2022 9 19 21 52 5.528741 45.934357 -130.013333 0.0175 0.457818 7 141.52
