2022 9 6122929.5045N55.44129W59.76 1.08  0.30  0.20 1.00              1 
2022 912 35411.3146N 0.00130W 0.24 0.91  0.30  0.20 1.00             36 
AAS1 OO  HHZ I D
AAS2 OO  HHZ I U
ACC1 OO  HHZ I U
AEC1 OO  HHZ I U
AEC2 OO  HHZ I D
AEC3 OO  HHZ I D
AID1 OO  HHZ I U
A01A OO  HHZ I D
A08A OO  HHZ I D
                                                                     36 
2022 912 41034.5945N59.40129W59.82 0.79  0.30  0.20 1.00             37 
AAS1 OO  HHZ I U
AAS2 OO  HHZ I U
ACC1 OO  HHZ I D
AEC1 OO  HHZ I U
AEC2 OO  HHZ I D
AEC3 OO  HHZ I D
AID1 OO  HHZ I D
A01A OO  HHZ I U
A05A OO  HHZ I U
A06A OO  HHZ I D
A07A OO  HHZ I U
                                                                     37 
2022 912 41046.6545N58.98129W59.64 0.82  0.30  0.20 1.00             38 
AAS2 OO  HHZ I D
ACC1 OO  HHZ I D
AEC1 OO  HHZ I U
AEC2 OO  HHZ I D
AEC3 OO  HHZ I U
AID1 OO  HHZ I U
A01A OO  HHZ I U
A04A OO  HHZ I D
A05A OO  HHZ I U
                                                                     38 
2022 912 41059.1345N58.68129W59.88 0.82  0.30  0.20 1.00             39 
AAS2 OO  HHZ I U
ACC1 OO  HHZ I D
AEC1 OO  HHZ I U
AEC2 OO  HHZ I U
AEC3 OO  HHZ I D
AID1 OO  HHZ I D
A01A OO  HHZ I D
A05A OO  HHZ I D
A14A OO  HHZ I D
                                                                     39 
2022 912 5 139.3145N57.48129W58.50 0.97  0.30  0.20 1.00             40 
AAS1 OO  HHZ I U
ACC1 OO  HHZ I U
AEC1 OO  HHZ I D
AEC2 OO  HHZ I D
AEC3 OO  HHZ I D
AID1 OO  HHZ I D
A03A OO  HHZ I D
A05A OO  HHZ I U
A06A OO  HHZ I D
A07A OO  HHZ I U
A08A OO  HHZ I D
                                                                     40 
2022 912 5 340.8445N58.26129W59.82 1.53  0.30  0.20 1.00             41 
AAS1 OO  HHZ I D
AAS2 OO  HHZ I U
ACC1 OO  HHZ I U
AEC1 OO  HHZ I D
AEC2 OO  HHZ I D
AEC3 OO  HHZ I U
A03A OO  HHZ I U
A05A OO  HHZ I U
A06A OO  HHZ I D
A07A OO  HHZ I U
A08A OO  HHZ I D
A09A OO  HHZ I U
A10A OO  HHZ I U
A11A OO  HHZ I U
                                                                     41 
2022 912 52142.2245N58.38129W59.94 1.53  0.30  0.20 1.00             42 
AAS2 OO  HHZ I U
ACC1 OO  HHZ I U
AEC1 OO  HHZ I U
AEC2 OO  HHZ I D
AEC3 OO  HHZ I U
AID1 OO  HHZ I U
A02A OO  HHZ I D
A03A OO  HHZ I U
A04A OO  HHZ I U
A05A OO  HHZ I U
A06A OO  HHZ I D
A07A OO  HHZ I U
A08A OO  HHZ I D
A09A OO  HHZ I U
A10A OO  HHZ I U
A12A OO  HHZ I U
A14A OO  HHZ I U
                                                                     42 
2022 912 524 1.5445N57.96129W59.82 1.37  0.30  0.20 1.00             43 
AAS1 OO  HHZ I D
AAS2 OO  HHZ I D
ACC1 OO  HHZ I U
AEC1 OO  HHZ I U
AEC2 OO  HHZ I U
AEC3 OO  HHZ I U
A05A OO  HHZ I U
A06A OO  HHZ I U
A07A OO  HHZ I U
A08A OO  HHZ I U
A11A OO  HHZ I U
                                                                     43 
2022 912 52438.9745N58.38130W 0.00 1.41  0.30  0.20 1.00             44 
