A02A   176.5   82.3 -1 -1    0.00    0.00
A03A   155.4   52.0  1  1    0.00    0.00
A04A   123.9   80.7  1  1    0.00    0.00
A09A   353.8   82.7 -1 -1    0.00    0.00
A02A   176.5   82.3  0  0    0.66    1.26
A03A   155.4   52.0  0  0   -0.29    0.31
A04A   123.9   80.7  0  0    0.68    1.17
              24  21  13   8 1
AAS1   346.2   97.3  1 -1    0.00    0.00
AAS2   312.1  106.4  1 -1    0.00    0.00
ACC1    39.7   97.7  1 -1    0.00    0.00
AEC1   308.3   96.9 -1 -1    0.00    0.00
AEC2   243.6   88.7 -1  1    0.00    0.00
AEC3   143.4   88.2 -1 -1    0.00    0.00
AID1   203.9   91.4 -1 -1    0.00    0.00
A05A    41.1   81.3 -1 -1    0.00    0.00
A08A   353.9  107.1 -1 -1    0.00    0.00
A10A   358.9  106.4 -1 -1    0.00    0.00
A11A   327.5  106.7 -1 -1    0.00    0.00
A12A    10.6  100.6  1 -1    0.00    0.00
A14A   327.9  105.5  1 -1    0.00    0.00
AAS1   346.2   97.3  0  0    0.09    1.27
AAS2   312.1  106.4  0  0    0.04    0.91
AEC1   308.3   96.9  0  0    0.30    1.28
AEC2   243.6   88.7  0  0    0.32    2.49
AEC3   143.4   88.2  0  0    0.55    1.78
AID1   203.9   91.4  0  0    0.08    1.93
A12A    10.6  100.6  0  0    0.49    1.12
A14A   327.9  105.5  0  0   -0.24    0.92
              25  23  13  10 1
AAS1   353.1  110.0 -1  1    0.00    0.00
AAS2   320.4  115.1  1 -1    0.00    0.00
ACC1    35.2  112.3 -1 -1    0.00    0.00
AEC1   322.6  107.9  1 -1    0.00    0.00
AEC2   271.2   89.0 -1 -1    0.00    0.00
AEC3   112.9   90.4 -1 -1    0.00    0.00
AID1   208.2   86.5  1  1    0.00    0.00
A06A    30.0  102.0  1 -1    0.00    0.00
A08A   356.4  115.5 -1 -1    0.00    0.00
A10A     1.6  115.2 -1 -1    0.00    0.00
A11A   333.7  115.3  1 -1    0.00    0.00
A12A    11.9  114.8  1 -1    0.00    0.00
A14A   336.5  114.7 -1 -1    0.00    0.00
AAS1   353.1  110.0  0  0    0.07    0.78
AAS2   320.4  115.1  0  0    0.43    0.68
ACC1    35.2  112.3  0  0    0.57    0.75
AEC1   322.6  107.9  0  0    0.38    0.86
AEC2   271.2   89.0  0  0    0.20    2.97
AEC3   112.9   90.4  0  0    0.47    3.04
AID1   208.2   86.5  0  0    0.60    1.65
A08A   356.4  115.5  0  0    0.70    0.61
A12A    11.9  114.8  0  0    0.51    0.64
A14A   336.5  114.7  0  0   -0.77    0.65
              26  11  10   1 1
AAS2   238.3   85.1 -1 -1    0.00    0.00
ACC1   120.5   91.5 -1 -1    0.00    0.00
AEC1   193.8   88.5 -1  1    0.00    0.00
AEC2   181.0   93.4  1  1    0.00    0.00
AEC3   157.5   93.9  1  1    0.00    0.00
AID1   174.5   93.9  1  1    0.00    0.00
A01A   165.4   91.6  1  1    0.00    0.00
A02A   175.7   91.3 -1  1    0.00    0.00
A03A   167.3   85.5 -1  1    0.00    0.00
A04A   144.6   89.9 -1 -1    0.00    0.00
A02A   175.7   91.3  0  0    1.17    2.07
              27  16  11   5 1
AAS1   153.8  104.7  1 -1    0.00    0.00
AAS2   204.2   99.5 -1 -1    0.00    0.00
ACC1   129.4  105.9 -1 -1    0.00    0.00
AEC2   173.6  106.2  1 -1    0.00    0.00
AEC3   156.0  106.4 -1 -1    0.00    0.00
AID1   169.5  106.4 -1 -1    0.00    0.00
A01A   161.0  105.9 -1 -1    0.00    0.00
A02A   168.2  105.9 -1 -1    0.00    0.00
